season,week,home_team,away_team,home_team_elo,away_team_elo,home_starters,away_starters,home_team_strength,away_team_strength,home_xG_to_date,away_xG_to_date,home_xG_against_to_date,away_xG_against_to_date,home_goals_scored,away_goals_scored,home_goals_scored_to_date,away_goals_scored_to_date,home_goals_conceded_to_date,away_goals_conceded_to_date,home_points_to_date,away_points_to_date,home_form,away_form,Pinnacle Closing Home Win Odds,Pinnacle Closing Draw Odds,Pinnacle Closing Away Win Odds
2425,1,Man Utd,Fulham,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2425,1,Ipswich,Liverpool,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2425,1,Arsenal,Wolves,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2425,1,Everton,Brighton,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2425,1,Newcastle,Southampton,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2425,1,Nott'm Forest,Bournemouth,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2425,1,West Ham,Aston Villa,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2425,1,Brentford,Crystal Palace,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2425,1,Chelsea,Man City,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2425,1,Leicester,Spurs,,,,,,,,,,,,,,,,,,,,,,,